DisputeStage,DisputeStatus,DisputeId,DueDate,DisputeTime,CardScheme,CardType,ReasonCode,ReasonCategory,ReasonMsg,ChargebackTxnAmount,MerchantUserId,TransactionChannel,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,RefundPayType,WinRate,ARN,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier
PRE_ARB,NEED_RESPONSE,3bdvdr7p2e1ylmed,2026-10-28 00:00:00,2026-09-28 20:46:25,Discover,Prepaid,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,200.32,7665434528917652499,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-14T20:10:21Z,200.32,USD,<UNSET>,0.0017,63594575802235039589387,601129XXXXXX8790,601129,Prepaid,Access Bank,NG,RM,2026-09-28,CBK-2026-200110,2026-10-28 00:00:00,No,Nuvei,Nuvei Corporation,MID534166543,TXN-20260814-10472067,ADY792852734013,790228,Card - Recurring,200.32,USD,Settled,2026-08-15,Z - Zip Only,M - Match,N - Not Authenticated,No,254.194.138.143,Android App,Yes,200.32,2026-10-04,ORD-202608-100710,2026-08-14 18:44:11,Premium Software Licence (1 yr),Digital Goods,DIG-4011-BLK,2,100.16,200.32,USD,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-08-14,2026-08-14,2026-08-14,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652499,Rahul Adeyemi,rahul.adeyemi@outlook.com,1856500509,2022-10-28,No,Under Review,29,9088.81,313.41,ORD-202604-542960,2026-04-01,1,0,3.45,Medium
CB,NEED_RESPONSE,382061573962,2026-10-29 00:00:00,2026-09-29 20:46:28,Mastercard,Prepaid,4860,Consumer Dispute,Credit Not Processed,31.75,7665434528917652500,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-21T10:09:15Z,31.75,USD,RefundToCredit,0.0067,21532581357625296421348,558272XXXXXX8292,558272,Prepaid,Barclays,ID,4860,2026-09-29,CBK-2026-200111,2026-10-29 00:00:00,No,Cybersource,Chase Paymentech,MID595906286,TXN-20260721-21085844,CKO057078127645,773125,Card - Ecom,31.75,USD,Captured,2026-07-22,Y - Full Match,M - Match,Y - Authenticated,Yes,181.128.35.39,iOS App,Yes,31.75,2026-10-03,ORD-202607-100711,2026-07-21 08:51:15,Cotton Casual Shirt,Apparel,APP-9732-NVY,1,31.75,31.75,USD,Completed,Delivered,Aramex,FX8201646407,2026-07-24,2026-07-26,2026-07-28,Yes - OTP Confirmed,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652500,Meera Tan,meera.tan@yahoo.com,1944117373,2025-05-19,Yes,Active,53,13943.71,263.09,ORD-202606-542761,2026-06-14,3,1,5.66,High
CB,NEED_RESPONSE,dsp_4n265bagh49et70x,2026-10-30 00:00:00,2026-09-30 11:12:04,Amex,Prepaid,C04,Consumer Dispute,Goods/Services Returned or Refused,405.18,7665434528917652501,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-06-22T18:26:24Z,206.18,NGN,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.006,7086277990443577376927,347189XXXXX4750,347189,Prepaid,Citibank,NG,C04,2026-09-30,CBK-2026-200112,2026-10-30 00:00:00,No,Checkout.com,Checkout Ltd,MID339822285,TXN-20260622-67879705,CKO261394173946,386549,Card - Ecom,405.18,NGN,Captured,2026-06-23,A - Address Only,M - Match,A - Attempted,No,237.169.191.71,Android App,No,0,,ORD-202606-100712,2026-06-22 17:50:01,Standing Desk Converter,Furniture,FUR-3138-BLU,2,202.59,405.18,NGN,Completed,Delivered,UPS,FX1841099392,2026-06-24,2026-06-25,2026-06-25,Yes - Photo,N/A,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652501,Adaeze Okafor,adaeze.okafor@yahoo.com,62182938972,2025-11-11,No,Active,18,2361.99,131.22,ORD-202512-636787,2025-12-13,0,0,0,Low
PRE_ARB,NEED_RESPONSE,4001928383,2026-10-31 00:00:00,2026-10-01 16:33:51,Mastercard,Credit,4837,Fraud,No Cardholder Authorization,713.19,7665434528917652502,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-06-27T22:24:10Z,713.19,IDR,"OriginalRefund, RefundToCredit",0.0049,42231718889532140706932,580295XXXXXX2671,580295,Credit,Klarna Bank AB,NG,4837,2026-10-01,CBK-2026-200113,2026-10-31 00:00:00,Yes,Stripe,Wells Fargo Bank N.A.,MID196370444,TXN-20260627-04364924,ADY150833515784,430770,BNPL,713.19,IDR,Captured,2026-06-30,A - Address Only,M - Match,Y - Authenticated,Yes,108.179.46.206,iOS App,Yes,713.19,2026-10-09,ORD-202606-100713,2026-06-27 21:19:34,Adjustable Dumbbell Set,Sports,SPT-2411-BLK,3,237.73,713.19,IDR,Completed,Delivered,DHL Express,DH9199247714,2026-06-27,2026-07-04,2026-07-04,Yes - OTP Confirmed,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652502,Arjun Okafor,arjun.okafor@gmail.com,1375020959,2025-01-19,Yes,Under Review,32,6751.84,211,ORD-202602-619828,2026-02-09,0,0,0,Low
PRE_ARB,NEED_RESPONSE,382061573963,2026-11-01 00:00:00,2026-10-02 07:58:19,Discover,Prepaid,NA,Authorization,No Authorization,78.24,7665434528917652503,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-05T21:27:11Z,78.24,NGN,<UNSET>,0.0031,2613510526681946115380,601156XXXXXX7888,601156,Prepaid,Bank Central Asia,SG,NA,2026-10-02,CBK-2026-200114,2026-11-01 00:00:00,No,Cybersource,Chase Paymentech,MID391965264,TXN-20260805-91817900,WLP790550081129,645009,Card - Ecom,78.24,NGN,Captured,2026-08-06,Z - Zip Only,N - No Match,Y - Authenticated,Yes,118.205.164.220,Desktop Web,Yes,78.24,2026-10-10,ORD-202608-100714,2026-08-05 21:04:14,Yoga Mat Pro,Sports,SPT-4830-GRN,2,39.12,78.24,NGN,Completed,Delivered,UPS,DH2008145401,2026-08-05,2026-08-13,2026-08-15,Yes - OTP Confirmed,N/A,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652503,James Tan,james.tan@yahoo.com,1332429324,2025-01-31,Yes,Under Review,39,10607.71,271.99,ORD-202512-588503,2025-12-23,3,1,7.69,High
PRE_ARB,NEED_RESPONSE,382061573964,2026-11-02 00:00:00,2026-10-03 22:05:46,Amex,Credit,A02,Authorization,No Valid Authorization,352.06,7665434528917652504,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-04T05:24:59Z,352.06,NGN,"OriginalRefund, RefundToCredit",0.0007,12201910999266278777252,340220XXXXX7945,340220,Credit,Klarna Bank AB,SG,A02,2026-10-03,CBK-2026-200115,2026-11-02 00:00:00,No,Cybersource,Chase Paymentech,MID558243525,TXN-20260904-64849190,CKO322056876547,375744,BNPL,352.06,NGN,Captured,2026-09-06,Z - Zip Only,N - No Match,A - Attempted,No,37.79.202.204,Android App,Yes,352.06,2026-10-09,ORD-202609-100715,2026-09-04 04:37:45,Wireless Noise-Cancelling Headphones,Electronics,ELC-8450-GRN,2,176.03,352.06,NGN,Completed,Delivered,GIG Logistics,DH5579888153,2026-09-05,2026-09-06,2026-09-07,Yes - Signature,Arjun Okafor,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652504,Chinedu Williams,chinedu.williams@mail.com,62365205872,2024-06-19,Yes,Under Review,40,9015.51,225.39,ORD-202601-685500,2026-01-28,1,0,2.5,Medium
CB,NEED_RESPONSE,j1l867ifd1543tcm,2026-11-03 00:00:00,2026-10-04 09:41:37,Mastercard,Credit,4837,Fraud,No Cardholder Authorization,19.37,7665434528917652505,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-27T16:32:26Z,19.37,USD,RefundToCredit,0.0033,596913718535070028938,508477XXXXXX2018,508477,Credit,Capital One,SG,4837,2026-10-04,CBK-2026-200116,2026-11-03 00:00:00,No,Nuvei,Nuvei Corporation,MID877201551,TXN-20260827-52521655,WLP583224505133,767090,Card - Ecom,19.37,USD,Settled,2026-08-28,N - No Match,M - Match,Y - Authenticated,Yes,109.203.145.189,Mobile Web,Yes,19.37,2026-10-08,ORD-202608-100716,2026-08-27 15:54:34,Mobile Game Coin Pack,Digital Goods,DIG-4117-WHT,1,19.37,19.37,USD,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-08-27,2026-08-27,2026-08-27,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),NG,N/A,7665434528917652505,Arjun Putri,arjun.putri@mail.com,234955304126,2026-06-27,Yes,Under Review,21,2117.2,100.82,ORD-202606-675730,2026-06-28,0,0,0,Low
PRE_ARB,NEED_RESPONSE,o696zukdfliyonba,2026-11-04 00:00:00,2026-10-05 20:46:22,Mastercard,Credit,4841,Consumer Dispute,Canceled Recurring or Digital Goods Transactions,61.03,7665434528917652506,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-08T11:18:18Z,48.73,IDR,OriginalRefund,0.0011,6351250478343284448125,555439XXXXXX6734,555439,Credit,Access Bank,NG,4841,2026-10-05,CBK-2026-200117,2026-11-04 00:00:00,No,Braintree,PayPal Braintree,MID569691758,TXN-20260908-69333992,STR264252185585,814149,Card - Ecom,61.03,IDR,Captured,2026-09-09,Z - Zip Only,M - Match,Y - Authenticated,Yes,119.62.9.232,Mobile Web,Yes,61.03,2026-10-11,ORD-202609-100717,2026-09-08 10:41:22,Wireless Noise-Cancelling Headphones,Electronics,ELC-5074-GRY,1,61.03,61.03,IDR,Completed,Delivered,DHL Express,DH1567376232,2026-09-10,2026-09-14,2026-09-14,Yes - Photo,N/A,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652506,Emily Johnson,emily.johnson@mail.com,62871114310,2024-09-23,Yes,Under Review,57,10020.25,175.79,ORD-202606-636616,2026-06-09,0,0,0,Low
CB,NEED_RESPONSE,s6d7r0esabwrjjqw,2026-11-05 00:00:00,2026-10-06 20:46:25,Discover,Debit,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,260.94,7665434528917652507,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-19T09:40:29Z,260.94,NGN,<UNSET>,0.0071,781406259791153909254,601121XXXXXX7203,601121,Debit,Klarna Bank AB,NG,RM,2026-10-06,CBK-2026-200118,2026-11-05 00:00:00,No,Nuvei,Nuvei Corporation,MID307324301,TXN-20260919-87839324,WLP534224575825,092401,BNPL,260.94,NGN,Settled,2026-09-20,Y - Full Match,N - No Match,A - Attempted,No,241.152.13.38,Android App,Yes,260.94,2026-10-11,ORD-202609-100718,2026-09-19 08:42:25,Ergonomic Office Chair,Furniture,FUR-5109-WHT,1,260.94,260.94,NGN,Under Investigation,In Transit,UPS,DH8810611643,2026-09-21,2026-09-29,,No,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652507,Nadia Brown,nadia.brown@gmail.com,1420895995,2026-07-05,No,Active,33,2868.31,86.92,ORD-202609-668341,2026-09-09,3,1,9.09,High
PRE_ARB,NEED_RESPONSE,amd5fuaxvjdpnu4f,2026-11-06 00:00:00,2026-10-07 20:46:28,Mastercard,Credit,4841,Consumer Dispute,Canceled Recurring or Digital Goods Transactions,136.42,7665434528917652508,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-01T21:07:13Z,136.42,NGN,"OriginalRefund, RefundToCredit",0.0025,218588353200413868223,515315XXXXXX0097,515315,Credit,Guaranty Trust Bank,US,4841,2026-10-07,CBK-2026-200119,2026-11-06 00:00:00,Yes,Braintree,PayPal Braintree,MID538518342,TXN-20260801-22767657,STR639349526539,398668,Card - Ecom,136.42,NGN,Captured,2026-08-02,N - No Match,P - Not Processed,Y - Authenticated,Yes,170.88.53.4,Android App,No,0,,ORD-202608-100719,2026-08-01 19:55:15,Electric Toothbrush,Beauty,BTY-9997-GRY,2,68.21,136.42,NGN,Completed,Delivered,Aramex,BD8636177832,2026-08-01,2026-08-08,2026-08-08,Yes - Signature,Meera Williams,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652508,Ananya Patel,ananya.patel@outlook.com,1054522151,2022-10-25,Yes,Active,19,2985.38,157.13,ORD-202605-601916,2026-05-03,0,0,0,Low
